MSN,YYYYMM,Value,Column_Order,Description,Unit
NGWPUUS,199112,2,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199112,3.05,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199112,5.51,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199112,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199112,4.84,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199112,86.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199112,3.09,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199112,32.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199112,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199112,2.64,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199112,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199113,1.64,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199113,2.9,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199113,5.82,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199113,99.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199113,4.81,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199113,85.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199113,2.69,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199113,32.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199113,3.96,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199113,2.18,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199113,79.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199201,1.74,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199201,2.9,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199201,5.53,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199201,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199201,4.85,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199201,87.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199201,3.04,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199201,31.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199201,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199201,2.49,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199201,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199202,1.26,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199202,2.7,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199202,5.54,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199202,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199202,5.03,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199202,85.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199202,2.78,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199202,31.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199202,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199202,2.03,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199202,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199203,1.35,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199203,2.61,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199203,5.5,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199203,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199203,4.77,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199203,84.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199203,2.58,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199203,29.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199203,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199203,1.99,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199203,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199204,1.42,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199204,2.74,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199204,5.62,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199204,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199204,4.77,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199204,84,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199204,2.54,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199204,31.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199204,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199204,2.07,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199204,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199205,1.51,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199205,2.9,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199205,6.15,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199205,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199205,4.59,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199205,79.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199205,2.44,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199205,29.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199205,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199205,2.11,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199205,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199206,1.62,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199206,3,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199206,6.84,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199206,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199206,4.72,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199206,79.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199206,2.53,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199206,28,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199206,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199206,2.18,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199206,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199207,1.55,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199207,3.01,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199207,7.27,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199207,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199207,4.64,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199207,76,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199207,2.54,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199207,27.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199207,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199207,2.13,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199207,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199208,1.84,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199208,3.18,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199208,7.45,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199208,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199208,4.73,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199208,76.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199208,2.71,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199208,28.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199208,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199208,2.42,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199208,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199209,1.92,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199209,3.23,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199209,7.15,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199209,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199209,4.69,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199209,78,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199209,2.82,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199209,29.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199209,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199209,2.51,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199209,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199210,2.38,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199210,3.5,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199210,6.52,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199210,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199210,4.9,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199210,80.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199210,3.21,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199210,31.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199210,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199210,3.04,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199210,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199211,2.13,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199211,3.33,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199211,6.02,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199211,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199211,5.12,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199211,83.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199211,3.26,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199211,30.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199211,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199211,2.87,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199211,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199212,2.07,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199212,3.17,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199212,5.74,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199212,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199212,5.11,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199212,85.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199212,3.38,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199212,32.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199212,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199212,2.81,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199212,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199213,1.74,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199213,3.01,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199213,5.89,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199213,99.1,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199213,4.88,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199213,83.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
